Artist ID,Artist Name,Track ID,Track Name,Popularity Score
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,1q9jq5X5vwmewjOa2mHtQ1,Same Yung Nigga (feat. Playboi Carti),79
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,6phY2gnvf9WwCiXlLMQOY3,HeMotions,79
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,1HY7Ze0NWqDJkl4g4MV62Q,Look What God Gave Her,78
7CajNmpbOovFoOoasH2HaY,Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),94
6Dd3NScHWwnW6obMFbl1BH,Daya,7hzlzoOwCZ4D3Ow5YZK4kj,Insomnia,83
5WUlDfRSoLAfcVSX1WnrxN,Sia,3Y7a0typ6ik1KscmebXd6D,No New Friends,85
2qxJFvFYMEDqd7ui6kSAcq,Zedd,2XWjPtKdi5sucFYtVav07d,365,87
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,32iPykTXUNZ9oGyACGUybq,How Did I Get Here (feat. J. Cole),79
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,06LFFPPS7MylCZXps3cO4m,Who Shot Cupid?,78
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,4bi9YrkOvmg4Eb7h00AW2c,Fall Threw (feat. Young Thug & Gunna),79
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),84
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,4L9Ds4mpD3SuYoWwFUlv16,Simple,78
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,7njKgVl3AnLflRad38o7AG,Paradise,81
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,1Pz3QmQFBFuI60rxCQBeW6,Kills You Slowly,82
7rkW85dBwwrJtlHRDkJDAC,NAV,4hqOmrCCJKyiuwDexd8c2t,Price On My Head (feat. The Weeknd),81
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,4n7jnSxVLd8QioibtTDBDq,On My Way,89
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,3y5B5ebFMzEEFqCPOesAXR,GIRL,77
0haZhu4fFKt0Ag94kZDiz2,Sofia Reyes,6JqpFboOH2bq9pzaYbkKBn,R.I.P. (feat. Rita Ora & Anitta),88
4r63FhuTkUYltbVAg5TQnk,DaBaby,3WyRgi8CzQnhzO0xw79tTS,Goin Baby,77
21WS9wngs9AqFckK7yYJPM,PnB Rock,4KXDT3pmPDB9IB6hTUoGpd,I Like Girls (feat. Lil Skies),78
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,72
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,45ZGEdLxCZvdMX9jWlsAAx,I Don't Belong In This Club,82
5LHRHt1k9lMyONurDHEdrp,Tyga,1NHlyKgtR4roNylOhidKSv,Girls Have Fun (feat. G-Eazy & Rich The Kid),82
0huGjMyP507tBCARyzSkrv,YBN Cordae,6fIMvZ2JA9kuQG8IuDgWMM,Have Mercy,78
02kJSzxNuaWGqwubyUba0Z,G-Eazy,2O8gSQ9z52tZSLJnuzjkcG,West Coast,79
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),87
0KPX4Ucy9dk82uj4GpKesn,Dalex,224EVTFiLsdQignUFLvDeH,Pa Mí - Remix,93
6LuN9FCkKOj5PcnpouEgny,Khalid,0W5oXFrxZNBTIS1eMW9Ofz,Saturday Nights REMIX,80
5INjqkS1o8h1imAzPqGZBb,Tame Impala,2drEUEg0TYQR6dDEHkpuPE,Patience,80
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,6v0lAdFF4haL8xjBIUjtOw,Te Robaré,88
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4rWC4tiO4NCwRHdh6vyu6b,Big,77
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,2QrXzOqLCVDRZHkToA0tSR,Never Go Back,84
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,7uiBocndm12aKbsdnQ3Scx,Undecided,84
