Artist Name,Track Name,Genre,Popularity Score
Two Door Cinema Club,Talk - Single Edit,indie rock,63
Two Door Cinema Club,Talk - Single Edit,indietronica,63
Two Door Cinema Club,Talk - Single Edit,irish rock,63
Two Door Cinema Club,Talk - Single Edit,modern rock,63
Two Door Cinema Club,Talk - Single Edit,northern irish indie,63
Two Door Cinema Club,Talk - Single Edit,pop,63
Two Door Cinema Club,Talk - Single Edit,rock,63
Bring Me The Horizon,medicine,melodic metalcore,71
Bring Me The Horizon,medicine,metalcore,71
Bring Me The Horizon,medicine,rock,71
Bring Me The Horizon,medicine,screamo,71
Migos,Position To Win,atl hip hop,64
Migos,Position To Win,pop,64
Migos,Position To Win,pop rap,64
Migos,Position To Win,rap,64
Migos,Position To Win,southern hip hop,64
Migos,Position To Win,trap music,64
